,name1,,
1061,"BOREAS in experiment overview, scientific results, and future directions","BOREASin experiment overview, scientific results, and future directions",
1062,Climatic variability and the modelling of crop yields,Climatic variability and the modellingof crop yields,
1068,Rates of speciation in the fossil record,Rates of speciation in the fossil record,
1071,A three-year study of controls on methane emissions from two Michigan peatlands.,A three-year study of controls ofmethane emissions from two Michigan peatlands,
1073,Global change and the carbon balance of Arctic ecosystems,Global change and the carbonbalance of Arctic ecosystems,
1074,Global warming and terrestrial ecosystems: a conceptual framework for analysis,Globalwarming and terrestrial ecosystems: a conceptual framework for analysis,
1077,Phytomass ( live biomass) and carbon of Siberian Forests,Phy tomass ( l iveb i omass) and carbon of Siberian Forests,
1078,Propagation of endangered birds in U.S. institutions: how much space is there? ,"Propagation of endangered birds in U.S. institutions: howmuch space is there? Zoo Biology, 14, 197鈥?10",
1085,"Groundwater Flow in a Bog-Fen Complex, Lost River Peatland, Northern Minnesota","Groundwater flow in a bog-fen complex,Lost River Peatland, Northern Minnesota",
1086,Climate-driven flushing of pore water in peatlands,Climate-driven flushing of pore water in peatlands,
1088,CO2 fluxes from peat in boreal mires under varying temperature and moisture conditions,CO 2fluxes from peat in boreal mires under varying temperature and moistureconditions,
1093,First-egg date fluctuations for the Pied Flycatcher Ficedula Hypoleuca in the woodlands of mid-Wales in the twentieth century,First-egg date fluctuations for the Pied Flycatcher Ficedulahypoleuca in the woodlands of mid-Wales in the twentieth century,
1094,Revegetation of peat excavations in a derelict raised bog,R ev eg e t a t ion o f p e a te x c avations in a derelict raised bog,
1095,Corn hybrid selection and climatic variability: gambling with nature?,"Corn hybrid selection and climaticvariability: gambling with nature? The Canadian Geographer, 4 1 , 4 2 9 鈥?4 3 8",
1096,The influence of climate change on the body mass of woodrats Neotoma in an arid region of New Mexico,The influence of climatechange on the body mass of woodrats Neotoma in an arid region of NewMexico,Foundations forEcological Research West of the Antarctic Peninsula
1097,A comparison of the performance of nine soil organic matter models using datasets from seven long-term experiments,A comparison of theperformance of nine soil organic matter models using datasets fromseven long-term experiments,
1099,The transient response of terrestrial carbon storage to a perturbed climate,The transient response of terrestrial carbonstorage to a perturbed climate,
1100,Human adaptation to climatic variability and change,Human adaptation to climatic variability andchange,
1105,"Forest management ,conservation, and global timber markets","Fo r e s t m an ag em en t ,c o nservation, and global timber markets",
1108,Climate change and terrestrial biomass: what if trees do not migrate?,"C l ima te change and terres tr ia lb i omass: what if trees do not migrate? Global Ecology andBiogeography Letters, 6, 139鈥?48",
1109,"Boreal forest carbon stocks and wood supply: past, present, and future responses to changing climate, agriculture,and species availability","Boreal forest carbon stocks and woodsupply: past, present, and future responses to changing climate, agriculture,and species availability",
1111,Potential impact of global climate change on forest distribution in Sri Lanka,Potential impact of global climatechange on forest distribution in Sri Lanka,
1112,Indonesian peat swamp forests and their role as a carbon sink,Indones ian pea t swamp fo res ts and the i r ro le as ac a rbon sink,
1118,Estimating the economic value of honey bees(Hymenoptera:Apidae) as agricultural pollinators in the United States,Estimating the economic value of honey bees(Hymenoptera:Apidae) as agricultural pollinators in the United States,
1119,Consequences of future climate change and changing climate variability on maize yields in the midwestern United States,Consequences of future climate change and changingclimate variability on maize yields in the midwestern United States,
1120,Phenology and the changing pattern of bird migration in Britain,Phenology and the changing pattern of bird migration inBritain,
1123,Terrestrial sedimentation and the carbon cycle: coupling weathering and erosion to carbon burial,Terrestrial sedimentation and the carbon cycle: couplingweathering and erosion to carbon burial,
1125,Model of transient changes in Arctic and boreal vegetation in response to climate and land use change,Model of transient changes in Arcticand boreal vegetation in response to climate and land use change,
1126,Endemic Bird Areas of the World: Priorities for Biodiversity Conservation,EndemicBird Areas of the World: Priorities for Biodiversity Conservation,
1127,Model simulations of dissolved oxygen characteristics of Minnesota lakes: past and future,Mode l s imu la t ions of d isso lved oxygenc h a racteristics of Minnesota lakes: past and future,
1128,The terrestrial carbon cycle: implications for the Kyoto Protocol,The terrestrial carbon cycle: implications for the Kyoto Protocol,
1129,"Effects of elevated CO2 on an artificial grassland community: competition, invasion and neighbourhood growth","Effects of elevated CO2 on an artificial grasslandcommunity: competition, invasion and neighbourhood growth",
1130,Simulating the effects of climate change on tropical montane cloud forests,Simulating the effects ofc l imate change on tropical montane cloud forests,
1132,Possible impacts of climatic warming on polar bears,Possible impacts of climatic warmingon polar bears,
1134,Woody seedling dynamics in an east Texas floodplain forest,Woody seedlingdynamics in an east Texas floodplain forest,
1137,"Laboratory and field investigations on the ability of eggs of the European pine sawfly, Neodiprion sertifer (Geoffroy) to withstand low winter temperatures","Laboratory and field investigations on the ability of eggsof the European pine sawfly, Neodiprion sertifer (Geoffroy) to withstandlow winter temperatures",
1140,Season-long measurement of carbon dioxide exchange in a boreal fen,Season-long measurementsof carbon dioxide exchange in a boreal fen,
1142,Late Cenozoic birds of Buenos Aires Province (Argentina): an attempt to document quantitative faunal changes,Late Cenozoic birds ofBuenos Aires Province (Argentina): an attempt to document quantitativefaunal changes,
1144,Elevated CO2 and moisture effects on soil carbon storage and cycling in temperate grasslands,Elevated CO2 and moisture effects on soil carbonstorage and cycling in temperate grasslands,
1145,A Siberian vegetation model based on climatic parameters,A S i b e r i a nv e getation model based on climatic parameters,
